series_name,season,title,imdb,engagement,date_aired,run_time,monster_type
The New Scooby and Scrappy Doo Show,1,Scooby of the Jungle,7.2,18.0,1983-09-24,11,Animal
The New Scooby and Scrappy Doo Show,1,"Scooby-Doo and Cyclops, Too",7.2,18.0,1983-09-24,11,Undead
The New Scooby and Scrappy Doo Show,1,Scooby Roo,7.5,15.0,1983-10-01,11,Animal
The New Scooby and Scrappy Doo Show,1,Wizards and Warlocks,7.3,15.0,1983-10-08,11,"Magician,Animal"
The New Scooby and Scrappy Doo Show,1,Scoobsie,7.3,15.0,1983-10-08,11,Ghost
The New Scooby and Scrappy Doo Show,1,The Crazy Carnival Caper,7.1,17.0,1983-10-15,11,Disguised
The New Scooby and Scrappy Doo Show,1,Scooby and the Minotaur,7.4,18.0,1983-10-29,11,Mythical
The New Scooby and Scrappy Doo Show,1,Scooby Pinch Hits,7.4,18.0,1983-10-29,11,Ghost
The New Scooby and Scrappy Doo Show,1,The Fall Dog,7.2,20.0,1983-11-05,11,Mythical
The New Scooby and Scrappy Doo Show,1,The Scooby Coupe,7.2,20.0,1983-11-05,11,Ghost
The New Scooby and Scrappy Doo Show,1,Who's Minding the Monster,6.5,21.0,1983-11-26,11,"Animal,Undead"
The New Scooby and Scrappy Doo Show,1,Scooby ala Mode,6.5,21.0,1983-11-26,11,Ghost
The New Scooby and Scrappy Doo Show,1,Where's Scooby-Doo?,6.5,19.0,1983-12-03,23,Undead
The New Scooby and Scrappy Doo Show,1,Wedding Bell Boos!,6.5,23.0,1983-12-10,23,Ghost
The New Scooby-Doo Mysteries,1,"Happy Birthday, Scooby-Doo",7.2,45.0,1984-09-08,23,Disguised
The New Scooby-Doo Mysteries,1,Scooby's Peep-Hole Pandemonium,7.2,29.0,1984-09-15,11,Undead
The New Scooby-Doo Mysteries,1,The Hand of Horror,7.2,29.0,1984-09-15,11,Possessed Object
The New Scooby-Doo Mysteries,1,Scoo-Be or Not Scoo-Be?,7.5,29.0,1984-09-22,11,Animal
The New Scooby-Doo Mysteries,1,The Stoney Glare Stare,7.5,29.0,1984-09-22,11,Mythical
The New Scooby-Doo Mysteries,1,Mission: Un-Doo-Able,7.0,26.0,1984-09-29,11,Super-Villain
The New Scooby-Doo Mysteries,1,The Bee Team,7.0,26.0,1984-09-29,11,Animal
The New Scooby-Doo Mysteries,1,Doom Service,7.1,24.0,1984-10-06,11,Ghost
The New Scooby-Doo Mysteries,1,Ghost of the Ancient Astronauts,6.9,36.0,1984-10-13,23,Undead
The New Scooby-Doo Mysteries,1,The Night of Living Toys,7.2,23.0,1984-10-20,11,Mythical
The New Scooby-Doo Mysteries,1,South Pole Vault,7.2,23.0,1984-10-20,11,Animal
The New Scooby-Doo Mysteries,1,A Halloween Hassle at Dracula's Castle,8.0,47.0,1984-10-27,23,Ghost
The New Scooby-Doo Mysteries,1,A Night Louse at the White House,7.5,26.0,1984-11-03,23,Ghost
The New Scooby-Doo Mysteries,1,Showboat Scooby,7.3,27.0,1984-11-10,11,Ghost
The New Scooby-Doo Mysteries,1,Sherlock Doo,7.6,27.0,1984-11-17,23,Ghost
The New Scooby-Doo Mysteries,1,A Scarey Duel with a Cartoon Ghoul,7.0,24.0,1984-11-24,11,Animal
The New Scooby-Doo Mysteries,1,E*I*E*I*O,7.0,24.0,1984-11-24,11,Animal
The New Scooby-Doo Mysteries,1,The Nutcracker Scoob,7.9,60.0,1984-12-01,23,Ghost
The 13 Ghosts of Scooby-Doo,1,To All the Ghouls I've Loved Before,7.7,104.0,1985-09-07,24,"Animal,Undead,Ghost"
The 13 Ghosts of Scooby-Doo,1,Scoobra Kadoobra,7.6,91.0,1985-09-14,24,"Plant,Mythical,Animal"
The 13 Ghosts of Scooby-Doo,1,Me and My Shadow Demon,7.3,84.0,1985-09-21,24,"Magician,Mythical,Animal"
The 13 Ghosts of Scooby-Doo,1,Reflections in the Ghoulish Eye,7.2,79.0,1985-09-28,24,"Mythical,Ghost"
The 13 Ghosts of Scooby-Doo,1,That's Monstertainment,7.9,84.0,1985-10-05,24,"Mythical,Undead"
The 13 Ghosts of Scooby-Doo,1,Ship of Ghouls,7.5,74.0,1985-10-12,24,"Mythical,Ghost"
The 13 Ghosts of Scooby-Doo,1,A Spooky Little Ghoul Like You,7.6,76.0,1985-10-19,24,"Magician,Ghost"
The 13 Ghosts of Scooby-Doo,1,When You Witch Upon a Star,7.1,78.0,1985-10-26,24,Magician
The 13 Ghosts of Scooby-Doo,1,It's a Wonderful Scoob,7.4,77.0,1985-11-02,24,"Magician,Ghost"
The 13 Ghosts of Scooby-Doo,1,Scooby in Kwacky Land,7.7,76.0,1985-11-09,24,"Mythical,Ghost"
The 13 Ghosts of Scooby-Doo,1,Coast-to-Ghost,7.4,71.0,1985-11-16,24,"Plant,Ghost,Undead"
The 13 Ghosts of Scooby-Doo,1,The Ghouliest Show on Earth,7.4,77.0,1985-11-23,24,"Magician,Ghost"
The 13 Ghosts of Scooby-Doo,1,Horror-Scope Scoob,7.4,77.0,1985-12-07,24,"Mythical,Undead,Ghost"
A Pup Named Scooby-Doo,1,A Bicycle Built for Boo,7.3,68.0,1988-09-10,23,Ghost
A Pup Named Scooby-Doo,1,The Sludge Monster from the Earth's Core,7.5,58.0,1988-09-17,23,Possessed Object
A Pup Named Scooby-Doo,1,The Schnoock Who Took My Comic Book,8.0,55.0,1988-09-24,23,Animal
A Pup Named Scooby-Doo,1,Wanted Cheddar Alive,7.5,61.0,1988-10-01,23,Possessed Object
A Pup Named Scooby-Doo,1,For Letter or Worse,7.4,44.0,1988-10-08,23,Ghost
A Pup Named Scooby-Doo,1,The Babysitter from Beyond,7.6,50.0,1988-10-15,23,Undead
A Pup Named Scooby-Doo,1,Snow Place Like Home,7.8,44.0,1988-10-22,23,Possessed Object
A Pup Named Scooby-Doo,1,"Now Museum, Now You Don't",7.7,47.0,1988-10-29,23,Ghost
A Pup Named Scooby-Doo,1,Scooby Dude,7.0,47.0,1988-11-05,23,Undead
A Pup Named Scooby-Doo,1,Ghost Who's Coming to Dinner,7.5,53.0,1988-11-12,23,Ghost
A Pup Named Scooby-Doo,1,The Story Stick,6.9,46.0,1988-11-19,23,Possessed Object
A Pup Named Scooby-Doo,1,Robopup,7.2,44.0,1988-11-26,23,Ghost
A Pup Named Scooby-Doo,1,Lights...Camera...Monster,7.5,45.0,1988-12-03,23,Plant
A Pup Named Scooby-Doo,2,Curse of the Collar,7.7,43.0,1989-09-09,23,Ghost
A Pup Named Scooby-Doo,2,The Return of Commander Cool,7.7,43.0,1989-09-16,23,Extraterrestrial
A Pup Named Scooby-Doo,2,The Spirit of Rock'n Roll,7.8,43.0,1989-09-23,23,Undead
A Pup Named Scooby-Doo,2,Chickenstein Lives,7.5,38.0,1989-09-30,23,Undead
A Pup Named Scooby-Doo,2,Night of the Living Burger,7.6,42.0,1989-10-07,23,Possessed Object
A Pup Named Scooby-Doo,2,The Computer Walks Among Us,7.7,40.0,1989-10-14,23,Mechanical
A Pup Named Scooby-Doo,2,"Terror, Thy Name is Zombo",7.8,38.0,1989-10-28,23,Ghost
A Pup Named Scooby-Doo,3,Night of the Boogey Biker,7.1,37.0,1990-09-08,11,Undead
A Pup Named Scooby-Doo,3,Dawn of the Spooky Shuttle Scare,7.1,37.0,1990-09-08,11,Ghost
A Pup Named Scooby-Doo,3,Horror of the Haunted Hairpiece,6.9,35.0,1990-10-06,23,Possessed Object
A Pup Named Scooby-Doo,3,Wrestle Maniacs,7.2,38.0,1990-11-03,23,Ghost
A Pup Named Scooby-Doo,4,The Were-Doo of Doo Manor,7.2,40.0,1991-08-03,23,Animal
A Pup Named Scooby-Doo,4,The Ghost of Mrs. Shusham,6.6,37.0,1991-08-10,11,Ghost
A Pup Named Scooby-Doo,4,Mayhem of the Moving Mollusk,7.2,32.0,1991-08-17,23,Animal
What's New Scooby-Doo?,1,There's No Creature Like Snow Creature,7.5,176.0,2002-09-14,21,Animal
What's New Scooby-Doo?,1,3-D Struction,7.4,150.0,2002-09-21,21,Animal
What's New Scooby-Doo?,1,Space Ape and the Cape,7.6,151.0,2002-09-28,21,Extraterrestrial
What's New Scooby-Doo?,1,Big Scare in the Big Easy,7.7,142.0,2002-10-05,21,Ghost
What's New Scooby-Doo?,1,"It's Mean, It's Green, It's the Mystery Machine",7.6,144.0,2002-10-26,21,Possessed Object
What's New Scooby-Doo?,1,Riva Ras Regas,7.5,125.0,2002-11-02,21,Ghost
What's New Scooby-Doo?,1,Roller Ghoster Ride,7.7,133.0,2002-11-09,21,Animal
What's New Scooby-Doo?,1,"Safari, So Goodie!",7.1,130.0,2002-11-23,21,Animal
What's New Scooby-Doo?,1,She Sees Sea Monsters by the Sea Shore,7.1,122.0,2002-11-30,21,Animal
What's New Scooby-Doo?,1,A Scooby-Doo! Christmas,7.5,137.0,2002-12-13,21,Possessed Object
What's New Scooby-Doo?,1,Toy Scary Boo,7.7,122.0,2003-02-01,21,Mechanical
What's New Scooby-Doo?,1,Lights! Camera! Mayhem!,7.5,115.0,2003-02-15,21,Ghost
What's New Scooby-Doo?,1,Pompii and Circumstance,7.1,110.0,2003-02-22,21,Ancient
What's New Scooby-Doo?,1,The Unnatural,7.3,110.0,2003-03-22,21,Ghost
What's New Scooby-Doo?,2,Big Appetite in Little Tokyo,7.2,112.0,2003-09-13,21,"Magician,Animal"
What's New Scooby-Doo?,2,Mummy Scares Best,7.6,102.0,2003-09-20,21,Undead
What's New Scooby-Doo?,2,The Fast and the Wormious,7.4,104.0,2003-09-27,21,Animal
What's New Scooby-Doo?,2,High-Tech House of Horrors,7.5,101.0,2003-10-04,21,Mechanical
What's New Scooby-Doo?,2,The Vampire Strikes Back,7.4,105.0,2003-10-18,21,Undead
What's New Scooby-Doo?,2,A Scooby-Doo Halloween,7.6,129.0,2003-10-25,21,"Possessed Object,Ghost"
What's New Scooby-Doo?,2,Homeward Hound,7.2,97.0,2003-10-25,21,Animal
What's New Scooby-Doo?,2,The San Franpsycho,7.3,103.0,2004-03-20,21,Ancient
What's New Scooby-Doo?,2,Simple Plan and the Invisible Madman,7.5,113.0,2004-03-22,21,Disguised
What's New Scooby-Doo?,2,Recipe for Disaster,7.5,109.0,2004-03-23,21,Possessed Object
What's New Scooby-Doo?,2,Large Dragon at Large,7.5,94.0,2004-03-24,21,Mythical
What's New Scooby-Doo?,2,Uncle Scooby and Antarctica,7.4,99.0,2004-03-25,21,Animal
What's New Scooby-Doo?,2,"New Mexico, Old Monster",7.2,96.0,2004-03-26,21,"Ancient,Animal"
What's New Scooby-Doo?,2,It's All Greek to Scooby,7.4,91.0,2004-03-27,21,Mythical
What's New Scooby-Doo?,3,Fright House of a Lighthouse,8.0,128.0,2005-01-29,21,Undead
What's New Scooby-Doo?,3,"Go West, Young Scoob",7.2,102.0,2005-02-05,21,Mechanical
What's New Scooby-Doo?,3,A Scooby-Doo Valentine,7.5,97.0,2005-02-11,21,Mechanical
What's New Scooby-Doo?,3,Wrestle Maniacs,7.4,90.0,2005-02-12,21,Undead
What's New Scooby-Doo?,3,Ready to Scare,7.5,89.0,2005-02-19,21,Possessed Object
What's New Scooby-Doo?,3,Farmed & Dangerous,7.3,101.0,2005-02-25,21,Undead
What's New Scooby-Doo?,3,Diamonds Are a Ghoul's Best Friend,7.0,96.0,2005-03-03,21,Undead
What's New Scooby-Doo?,3,A Terrifying Round with a Menacing Metallic Clown,7.6,105.0,2005-03-12,21,Mechanical
What's New Scooby-Doo?,3,Camp Comeoniwannascareya,7.5,100.0,2005-03-19,21,Possessed Object
What's New Scooby-Doo?,3,Block-Long Hong Kong Terror,7.4,88.0,2005-03-26,21,Mythical
What's New Scooby-Doo?,3,"Gentlemen, Start Your Monsters!",7.3,87.0,2005-04-02,21,Undead
What's New Scooby-Doo?,3,Gold Paw,7.4,84.0,2005-04-09,21,Possessed Object
What's New Scooby-Doo?,3,Reef Grief!,7.5,92.0,2005-04-19,21,"Plant,Possessed Object"
What's New Scooby-Doo?,3,E-Scream,7.4,91.0,2006-07-21,21,Animal
Shaggy & Scooby-Doo Get a Clue!,1,Shags to Riches,6.1,29.0,2006-09-23,23,"Super-Villain,Dr. Trebal,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,More Fondue for Scooby-Doo,5.0,21.0,2006-09-30,22,"Super-Villain,Dr. Trebal,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,High Society Scooby,6.0,22.0,2006-10-07,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Party Arty,5.9,19.0,2006-11-04,23,"Super-Villain,Mechanical,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Smart House,5.9,17.0,2006-11-11,23,"Super-Villain,Mechanical,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Lightning Strikes Twice,5.5,17.0,2006-11-18,22,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Don't Feed the Animals,5.8,18.0,2007-02-02,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Mysterty of the Missing Mystery Solvers,6.9,17.0,2007-02-10,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Chefs of Steel,5.1,16.0,2007-02-17,22,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Almost Ghosts,6.1,20.0,2007-02-24,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Pole to Pole,6.1,14.0,2007-03-03,22,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Big Trouble,5.9,17.0,2007-04-28,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,1,Operation Dog and Hippy Boy,5.1,14.0,2007-05-05,22,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Shaggy and Scooby World,5.3,15.0,2007-09-22,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Almost Purr-fect,5.2,16.0,2007-09-29,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Inside Job,5.9,18.0,2007-10-06,22,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Zoinksman,5.5,14.0,2007-10-13,23,"Super-Villain,Disguised,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,The Many Faces of Evil,5.4,13.0,2007-11-03,23,Super-Villain
Shaggy & Scooby-Doo Get a Clue!,2,Crusin' for a Brusin',5.6,11.0,2007-11-10,22,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,There's a Doctor in the House,5.5,11.0,2007-12-01,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Super Scary Movie Night,5.4,11.0,2008-01-26,22,"Super-Villain,Animal,Undead,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Runaway Robi,4.8,9.0,2008-02-02,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Don't Get a Big Head,4.6,9.0,2008-02-16,23,"Super-Villain,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Scooby Dudes,6.2,13.0,2008-02-23,23,"Super-Villain,Animal,Disugised,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Zoinks the Wonder Dog,5.1,9.0,2008-03-08,23,"Super-Villain,Mechanical,Disguised"
Shaggy & Scooby-Doo Get a Clue!,2,Uncle Albert Alert,5.8,9.0,2008-03-15,23,"Super-Villain,Disguised"
Scooby-Doo Mystery Incorporated,1,Beware the Beast From Below,7.9,337.0,2010-04-05,23,Possessed Object
Scooby-Doo Mystery Incorporated,1,The Creeping Creatures,7.8,304.0,2010-07-19,23,Animal
Scooby-Doo Mystery Incorporated,1,The Secret of the Ghost Rig,7.7,267.0,2010-07-26,23,Possessed Object
Scooby-Doo Mystery Incorporated,1,Revenge of the Man Crab,7.7,255.0,2010-08-02,22,Animal
Scooby-Doo Mystery Incorporated,1,The Song of Mystery,8.0,254.0,2010-08-09,22,"Ancient,Possessed"
Scooby-Doo Mystery Incorporated,1,The Legend of Alice May,8.5,263.0,2010-08-16,23,Ghost
Scooby-Doo Mystery Incorporated,1,In Fear of the Phantom,8.2,256.0,2010-08-23,23,Ghost
Scooby-Doo Mystery Incorporated,1,The Grasp of the Gnome,7.8,229.0,2010-08-30,23,Mythical
Scooby-Doo Mystery Incorporated,1,Battle of the Humungonauts,7.6,221.0,2010-09-07,23,Animal
Scooby-Doo Mystery Incorporated,1,Howl of the Fright Hound,8.2,235.0,2010-10-04,23,Mechanical
Scooby-Doo Mystery Incorporated,1,The Secret Serum,8.1,225.0,2010-10-11,22,Undead
Scooby-Doo Mystery Incorporated,1,The Shrieking Madness,8.4,246.0,2010-10-18,22,Extraterrestrial
Scooby-Doo Mystery Incorporated,1,When the Cicada Calls,8.0,224.0,2010-10-25,22,Animal
Scooby-Doo Mystery Incorporated,1,Mystery Solvers Club State Finals,8.2,254.0,2011-05-03,22,Undead
Scooby-Doo Mystery Incorporated,1,The Wild Brood,7.7,221.0,2011-05-10,22,Mythical
Scooby-Doo Mystery Incorporated,1,Where Walks Aphrodite,8.2,228.0,2011-05-17,21,Mythical
Scooby-Doo Mystery Incorporated,1,Escape from Mystery Manor,8.8,250.0,2011-05-24,22,Ancient
Scooby-Doo Mystery Incorporated,1,The Dragon's Secret,8.2,211.0,2011-05-31,22,Magician
Scooby-Doo Mystery Incorporated,1,Nightfright,8.5,227.0,2011-06-07,22,Mythical
Scooby-Doo Mystery Incorporated,1,The Siren's Song,8.1,203.0,2011-06-14,23,Animal
Scooby-Doo Mystery Incorporated,1,Menace of the Manticore,8.2,212.0,2011-06-21,22,Mythical
Scooby-Doo Mystery Incorporated,1,Attack of the Headless Horror,8.1,196.0,2011-06-28,22,Ancient
Scooby-Doo Mystery Incorporated,1,A Haunting in Crystal Cove,8.6,211.0,2011-07-05,22,Ghost
Scooby-Doo Mystery Incorporated,1,Dead Justice,8.2,194.0,2011-07-12,22,Ghost
Scooby-Doo Mystery Incorporated,1,Pawn of Shadows,8.8,212.0,2011-07-19,23,Undead
Scooby-Doo Mystery Incorporated,1,All Fear the Freak,9.2,272.0,2011-07-26,23,Ancient
Scooby-Doo Mystery Incorporated,2,The Night the Clown Cried,8.5,226.0,2012-07-30,23,Disguised
Scooby-Doo Mystery Incorporated,2,The House of the Nightmare Witch,7.9,187.0,2012-07-31,23,"Magician,Possessed Object"
