series_name,season,title,imdb,engagement,date_aired,run_time,monster_type
"Be Cool, Scooby-Doo!",1,Trading Chase,7.6,80.0,2015-10-12,22,Mythical
"Be Cool, Scooby-Doo!",1,"Be Quiet, Scooby-Doo!",7.5,84.0,2015-10-15,22,Animal
"Be Cool, Scooby-Doo!",1,Party Like It's 1899,8.2,88.0,2015-10-19,22,Undead
"Be Cool, Scooby-Doo!",1,Screama Donna,7.4,72.0,2015-10-20,22,Ghost
"Be Cool, Scooby-Doo!",1,Kitchen Frightmare,7.5,75.0,2015-10-21,22,Animal
"Be Cool, Scooby-Doo!",1,"Me, Myself, and A.I.",7.5,72.0,2015-10-22,22,Mechanical
"Be Cool, Scooby-Doo!",1,Area 51 Adjacent,7.4,71.0,2015-10-23,22,Extraterrestrial
"Be Cool, Scooby-Doo!",1,"Where There's a Will, There's a Wraith",7.5,81.0,2015-10-28,22,Ghost
"Be Cool, Scooby-Doo!",1,Scary Christmas,7.4,75.0,2015-12-05,22,Ancient
"Be Cool, Scooby-Doo!",1,"If You Can't Scooby-Doo the Time,Don't Scooby-Doo the Crime",7.7,72.0,2015-12-10,24,Ghost
"Be Cool, Scooby-Doo!",1,Gremlin on a Plane,7.8,66.0,2016-02-13,22,Mythical
"Be Cool, Scooby-Doo!",1,Sorcerer Snacks Scare,7.9,67.0,2016-02-20,22,Magician
"Be Cool, Scooby-Doo!",1,Saga of the Swamp Beast,8.2,67.0,2016-02-27,22,Plant
"Be Cool, Scooby-Doo!",1,"Be Cold, Scooby-Doo!",7.5,63.0,2016-03-05,22,Possessed Object
"Be Cool, Scooby-Doo!",1,Giant Problems,7.4,58.0,2016-03-12,22,Mythical
"Be Cool, Scooby-Doo!",1,Eating Crow,7.4,54.0,2016-03-23,22,Possessed Object
"Be Cool, Scooby-Doo!",1,I Scooby Dooby Do,7.2,58.0,2017-06-20,22,Undead
"Be Cool, Scooby-Doo!",1,El Bandito,7.6,52.0,2017-06-20,22,Undead
"Be Cool, Scooby-Doo!",1,Into the Mouth Madcap,7.2,50.0,2017-06-20,22,Disguised
"Be Cool, Scooby-Doo!",1,The Norse Case Scenario,7.3,48.0,2017-06-20,22,Ghost
"Be Cool, Scooby-Doo!",1,The People vs. Fred Jones,7.7,50.0,2017-06-20,22,Undead
"Be Cool, Scooby-Doo!",2,Some Fred Time,8.2,53.0,2017-11-14,22,Animal
"Be Cool, Scooby-Doo!",2,There Wolf,7.5,40.0,2017-11-15,22,Animal
"Be Cool, Scooby-Doo!",2,Renn Scare,7.4,40.0,2017-11-15,22,Disguised
"Be Cool, Scooby-Doo!",2,How to Train Your Coward,7.6,42.0,2017-12-21,22,Undead
"Be Cool, Scooby-Doo!",2,Worst in Show,7.1,38.0,2017-11-17,22,Animal
"Be Cool, Scooby-Doo!",2,Mysteries on the Disorient Express,7.5,42.0,2017-11-18,22,"Magician,Mythical,Undead"
"Be Cool, Scooby-Doo!",2,Halloween,7.4,43.0,2017-09-28,22,"Magician,Possessed Object"
"Be Cool, Scooby-Doo!",2,The Curse of Kaniaku,7.5,39.0,2017-11-19,22,Animal
"Be Cool, Scooby-Doo!",2,Vote Velma,6.6,40.0,2017-11-19,22,Ghost
"Be Cool, Scooby-Doo!",2,Scroogey Doo,7.7,47.0,2017-11-30,22,Ghost
"Be Cool, Scooby-Doo!",2,In Space,8.0,44.0,2017-11-20,22,Extraterrestrial
"Be Cool, Scooby-Doo!",2,Doo Not Distrub,7.9,50.0,2017-11-21,22,Undead
"Be Cool, Scooby-Doo!",2,Silver Scream,7.4,38.0,2017-11-22,22,Ghost
"Be Cool, Scooby-Doo!",2,Fright of Hand,7.2,35.0,2017-11-22,22,Animal
"Be Cool, Scooby-Doo!",2,Greece in the World,6.7,35.0,2017-11-23,22,Mythical
"Be Cool, Scooby-Doo!",2,American Goth,7.1,41.0,2018-03-08,22,Plant
"Be Cool, Scooby-Doo!",2,Omelettes Are Forever,7.2,31.0,2018-03-09,22,Disguised
"Be Cool, Scooby-Doo!",2,Ghost in the Mystery Machine,7.4,36.0,2018-03-10,22,Possessed Object
"Be Cool, Scooby-Doo!",2,Naughty or Ice,7.4,38.0,2018-03-11,22,Ancient
"Be Cool, Scooby-Doo!",2,Night of the Upsetting Shorts,7.3,39.0,2018-03-12,22,Animal
"Be Cool, Scooby-Doo!",2,Junkyard Dogs,6.9,37.0,2018-03-13,22,Mechanical
"Be Cool, Scooby-Doo!",2,Protein Titans 2,6.7,33.0,2018-03-14,22,Ghost
"Be Cool, Scooby-Doo!",2,World of Witchcraft,6.9,33.0,2018-03-15,22,Mythical
"Be Cool, Scooby-Doo!",2,Professor Huh? Part 1,7.8,37.0,2018-03-16,22,Disguised
"Be Cool, Scooby-Doo!",2,Professor Huh? Part 6 3/4,7.9,36.0,2018-03-17,22,Disguised
"Be Cool, Scooby-Doo!",2,Pizza O'Possumm's,6.8,31.0,2018-03-18,11,Mechanical
"Be Cool, Scooby-Doo!",2,The Curse of Half-Beard's Booty,6.8,31.0,2018-03-18,11,Ghost
Scooby-Doo and Guess Who?,1,Revenge of the Swamp Monster,7.0,126.0,2019-06-27,22,Animal
Scooby-Doo and Guess Who?,1,A Mystery Solving Gang Divided,7.9,93.0,2019-07-02,22,Ghost
Scooby-Doo and Guess Who?,1,Peebles' Pet Show of Terrible Terrors!,7.9,79.0,2019-07-11,22,Animal
Scooby-Doo and Guess Who?,1,"Elementary, My Dear Shaggy!",8.1,78.0,2019-07-18,22,Ghost
Scooby-Doo and Guess Who?,1,Ollie Ollie In-Come Free!,7.3,84.0,2019-07-25,23,Undead
Scooby-Doo and Guess Who?,1,The Scooby of a Thousand Faces!,8.1,74.0,2019-08-01,22,Mythical
Scooby-Doo and Guess Who?,1,The Cursed Cabinet of Professor Madds Markson,8.3,70.0,2019-08-08,22,"Animal,Undead"
Scooby-Doo and Guess Who?,1,When Urkel-Bots Go Bad!,6.5,74.0,2019-08-15,22,Magician
Scooby-Doo and Guess Who?,1,The Fastest Food Fiend!,7.5,52.0,2019-08-22,23,Ghost
Scooby-Doo and Guess Who?,1,Attack of the Weird Al-Osaurus!,7.5,61.0,2019-08-29,23,Animal
Scooby-Doo and Guess Who?,1,"Now You Sia, Now You Don't!",7.4,59.0,2019-09-05,22,Disguised
Scooby-Doo and Guess Who?,1,Quit Clowning!,7.4,47.0,2019-09-12,23,Ghost
Scooby-Doo and Guess Who?,1,"What a Night, for a Dark Knight",8.7,84.0,2019-09-19,22,Animal
Scooby-Doo and Guess Who?,1,The Nightmare Ghost of Psychic U!,8.1,38.0,2020-07-02,23,Ghost
Scooby-Doo and Guess Who?,1,"The Sword, the Fox and the Scooby-Doo!",8.8,35.0,2020-07-02,23,Animal
Scooby-Doo and Guess Who?,1,One Minuite Mysteries!,7.9,36.0,2020-07-02,23,"Undead,Ghost,Disguised,Magician,Possessed Object,Extraterrestrial,Ancient,Animal"
Scooby-Doo and Guess Who?,1,Hollywood Knights!,8.1,25.0,2020-07-02,22,Possessed Object
Scooby-Doo and Guess Who?,1,The New York Underground!,7.8,27.0,2020-07-02,22,Animal
Scooby-Doo and Guess Who?,1,Fear the Fire Beast!,7.7,23.0,2020-07-02,22,Animal
Scooby-Doo and Guess Who?,1,Too Many Dummies!,8.2,28.0,2020-07-02,22,Possessed Object
Scooby-Doo and Guess Who?,1,Dance Matron of Mayhem,7.6,22.0,2020-07-02,22,Ghost
Scooby-Doo and Guess Who?,1,The Wedding Witch of Wainsly Hall!,8.6,19.0,2020-07-02,22,Magician
Scooby-Doo and Guess Who?,1,A Run Cycle Through Time!,7.9,21.0,2020-07-02,22,"Mechanical,Animal"
Scooby-Doo and Guess Who?,1,I Put a Hex on You!,8.4,25.0,2020-07-02,22,Ghost
Scooby-Doo and Guess Who?,1,The High School Wolfman's Musical Lament!,7.6,27.0,2020-07-02,23,Animal
Scooby-Doo and Guess Who?,1,Space Station Scooby,8.2,24.0,2020-07-02,22,Animal
